id,assign,-logKd/Ki,pred_grid_rf,pred_grid_nn,pred_ECFP_rf,pred_ECFP_nn
2i6b,train,7.17,6.886852976913768,7.761648,7.233730074388995,7.9420877
4d8z,train,6.29,6.122320777642753,6.811269,6.387577045696044,7.5244255
2y80,train,8.05,8.03078979343871,8.64677,,
2cen,train,8.3,7.9981287970839094,8.470186,8.493390010627078,8.822158
4uyf,test,7.6,6.4904374240583165,7.4991446,6.632312433581318,5.3231626
1y3v,train,5.64,5.80840826245444,6.2450924,,
3elc,train,2.69,3.63636695018229,3.5825558,3.5064399574920513,4.022052
4ck3,test,3.57,6.435698663426494,6.120273,5.727832093517523,7.5165052
1df8,train,9.7,8.443535844471375,9.573646,,
3i9g,train,8.96,8.152904009720555,8.904539,,
2hb1,train,3.8,4.3414337788578745,4.499044,4.46577045696072,5.2674565
1pzi,train,4.22,4.84083839611173,4.952684,4.606160998937255,5.5136976
3aau,train,5.05,5.496755771567486,5.9541636,5.2238788522848685,5.231438
3o7u,train,7.28,6.432770352369386,7.257745,7.090446333687524,7.622225
2fqo,train,6.43,6.335066828675585,6.9066353,6.319128586610026,7.3446865
4kif,test,4.84,5.377193195625757,5.167219,4.087917109458039,5.493617
3vtr,valid,5.57,6.659611178614826,8.368001,,
4gqr,train,3.96,4.604119076549227,4.932946,4.626195536663143,5.7212377
3da9,train,5.51,5.887339003645277,6.23074,5.90065887353887,6.449574
3a1e,train,2.66,3.750121506682853,3.1172152,,
1izi,train,6.59,6.803438639125203,7.555129,,
4m8x,test,10.2,7.214264884568655,9.018283,,
1f8c,train,7.4,6.684799513973243,6.8793864,7.189404888416482,7.392261
4b33,valid,3.37,5.606464155528554,5.4629083,5.596886291179587,6.345522
1jak,train,5.57,5.659611178614846,6.430134,6.11866099893727,6.287616
3rux,train,9.28,8.290328068043717,9.51921,8.456758767268822,9.475364
3oaf,train,8.8,7.813195625759486,9.079531,8.582051009564404,9.547669
4azi,valid,7.45,6.285370595382743,7.432546,,
3ozs,train,5.33,5.863450789793404,6.1872463,5.810552603613152,7.0409074
3ejp,train,8.55,7.746707168894361,8.620642,8.18972369819349,8.249763
3c79,train,7.2,6.6916281895503635,7.184484,7.020924548352754,7.6619487
4jym,valid,5.04,5.164155528554065,5.303393,6.078023379383637,4.3803234
2vyt,train,2.74,3.7020899149452795,3.3580213,,
2p09,train,6.35,6.359052247873653,7.0315385,,
2evl,train,6.7,6.680400972053407,7.278953,6.750882040382516,7.120623
4dmw,train,4.94,5.188347509113017,5.4978747,,
4jsz,valid,2.3,4.929404617253939,5.489104,,
2oax,train,8.65,8.059647630619622,8.723263,8.551540913921274,8.875668
1i9l,train,8.48,8.43215066828665,9.118711,8.464080765143308,8.730794
4u8w,test,11.24,7.3974119076549325,8.241359,,
1c4u,train,10.37,9.040400972053401,10.249507,,
2j7d,train,7.13,6.849647630619746,7.33543,7.070170031881042,7.4632506
1qbu,train,10.24,9.123705953827352,10.416003,,
2ptz,train,7.82,6.814726609963534,7.200871,,
2gss,train,4.94,5.114714459295282,5.9797525,5.14610223110221,5.79709
2yek,train,7.21,6.925820170109375,7.753749,,
3sym,train,4.57,5.047205346294084,5.4477487,4.5409741409847975,5.1433573
4k5p,valid,3.46,5.723657351154313,6.5284305,,
1hbv,train,6.37,6.590182260024252,6.6721025,6.714537725823538,7.059909
3pgu,train,6.7,6.464507897934323,7.3212237,6.715330322352047,5.8306565
1a99,train,5.7,5.610461725394841,6.138804,,
1ch8,train,7.0,6.696123936816518,7.261598,,
4og4,test,6.02,6.574459295261242,7.39206,,
3vd9,train,4.0,4.2740461725394905,4.4642897,,
2qwb,train,2.74,3.8757958687727347,3.6599684,,
1r4w,train,4.05,4.8740097205346755,4.905973,,
3q44,train,6.31,6.253997569866374,7.081998,6.642667375132896,7.473962
4ibj,test,4.33,6.397970838396106,7.233687,6.221870350690757,6.960315
3bgs,train,9.42,8.31704738760636,9.6349745,,
3qqs,train,5.82,5.840680437424072,6.762551,5.788289054197647,5.809745
3muz,train,3.46,4.087363304981793,3.873084,,
3vf7,valid,9.1,7.920534629404653,9.33265,,
4hla,test,10.8,6.850315917375454,7.5288105,,
1rp7,train,8.52,7.720850546780166,8.401814,,
4ddh,valid,3.3,6.297521263669503,6.0108385,5.664141111279813,5.6719284
3gus,train,6.05,5.9757594167679775,6.9702177,,
2j94,train,6.27,6.811482381531059,6.901011,6.907672688629204,7.315445
3iss,train,6.05,6.205492102065682,6.691066,,
1v2n,train,5.9,6.016245443499387,6.673828,5.973499822883427,6.021545
3sbh,train,7.28,7.591944106925858,8.175688,7.201880977683299,7.1815996
1met,train,9.4,8.98206561360867,9.684108,,
1fjs,train,9.96,9.087788578371828,10.128732,8.772943676939448,9.425749
3ekw,train,7.96,7.815783718104523,8.539808,,
4b5w,train,3.33,3.874933171324395,4.1509027,4.038979808714096,5.637259
4ggz,test,10.18,6.24339003645201,6.832418,,
3ddf,train,4.66,5.137557715674328,5.5350356,5.261088381154749,6.407127
4c6u,valid,4.59,6.010959902794661,7.5034833,5.449456842602445,6.3344207
2pqc,train,5.74,6.03245443499384,6.8138094,,
1aj7,train,3.87,4.576123936816478,4.5670156,,
2w08,train,3.42,4.015698663426515,4.1560674,,
2sim,train,3.42,4.343049817740003,4.4418774,,
1nw7,train,5.09,5.68636695018231,5.767572,,
3n86,train,5.64,5.976136087484827,6.285126,5.917502656748187,6.3865957
2uxi,train,7.3,6.955965978128871,7.814605,6.698363443145666,7.5692906
1lbf,train,7.85,7.222733900364572,8.029962,,
2rkd,train,2.72,3.5407168894288934,3.6970925,,
1m7y,train,10.96,9.375868772782528,10.896208,,
1mrn,train,4.52,5.35931956257595,5.142616,,
4j21,valid,7.41,6.194532199270963,6.9821196,6.086456628907463,8.117034
2j7e,train,7.32,7.071421628189528,7.7829733,7.350520722635465,8.788402
3p8p,train,4.55,5.131931956257643,5.764212,5.444995394969959,6.511017
1rmz,train,8.0,7.37103280680438,8.260829,7.86865568544105,8.508002
1xd0,train,7.12,7.016160388821335,7.74537,7.059728885177821,8.4343815
3fhb,train,5.7,5.519003645200433,5.9830422,5.417600956429271,5.18718
4iuo,valid,3.64,5.38526123936816,5.2982726,5.196624158696427,5.6395884
1lyx,train,4.54,4.6765127582016826,5.167766,,
4ddy,train,5.62,5.8520170109355565,6.361468,5.519606801275198,6.097847
2aod,train,5.66,5.882345078979307,6.6078196,5.765887353878795,6.6683455
2wlz,train,4.6,5.3037667071688634,5.6172204,4.855427736450575,5.452152
4heg,test,8.92,7.474884568651275,9.060483,9.943974495217864,7.971798
2wnc,train,6.32,6.305054678007294,6.8864174,6.242468119022306,5.657074
3i4y,train,7.05,6.411883353584516,7.5247073,6.877640807651496,7.783112
3pgl,train,5.3,5.590303766707227,6.42406,5.6871144136446405,6.9168463
3ao4,train,2.07,3.5048359659781445,2.6783988,3.3039426142401975,2.7405434
4ej8,valid,5.39,4.994495747266094,5.7479644,5.418876480188255,5.67697
3d4z,train,4.89,4.963633049817713,5.4232454,,
3r16,train,7.3,7.470206561360955,7.800099,7.325727948990505,7.4020405
3std,train,11.11,9.571215066828593,11.153702,,
4p3h,test,6.0,6.2938517618469065,7.8474708,5.763304994686526,3.504768
1j37,train,8.96,7.676111786148261,8.798627,8.945632306057394,8.491909
3b92,train,8.0,7.522648845686518,8.120106,7.670031216790657,8.056448
2rke,train,4.08,4.3004374240582885,4.458263,4.402943676939379,5.8380766
3mam,train,4.12,4.37603888213847,4.8610344,,
1jys,train,3.52,4.006403402187109,4.233325,4.062401700318806,4.0924106
4q19,test,8.05,6.3652490886998745,7.7195034,5.879171094580241,7.2105346
1r0p,train,8.0,7.4993924665856655,8.622685,8.168012752391048,9.745666
1kyv,train,5.92,6.114520048602711,6.9386983,,
1flr,train,10.0,8.490097205346295,9.761629,9.336801275239111,9.087382
4ai5,train,2.92,3.8233049817740246,3.9952893,,
1ciz,train,7.44,7.140765492102014,8.39733,7.302936592277644,7.7488146
3gkz,train,8.0,7.292102065613613,8.51087,,
3kmc,train,6.4,6.446123936816508,7.034317,,
4ht0,valid,8.0,7.389477521263666,8.803043,7.072638328019828,6.2012477
2qrl,train,4.0,4.204009720534627,4.677117,4.146533185199495,4.1908817
1g46,train,8.8,8.554763061968476,8.983214,,
3pe2,train,9.76,8.562904009720624,9.390465,8.809458023379479,9.836708
3g2y,train,2.0,3.2714580801944084,3.035626,3.0690282205691317,2.7895646
1oar,train,7.4,6.873985419198027,7.943763,6.789096705632236,7.2632227
3d83,train,8.36,7.87250303766702,8.791133,8.033985122210337,8.379136
4i9h,valid,7.17,6.666731470230864,7.517986,7.505727948990443,8.433925
1zge,train,7.3,6.942150668286822,7.858502,7.149681190223242,7.676468
3l1n,train,5.63,5.7760388821385735,6.1433945,,
4poj,test,8.1,6.733888213851762,8.14836,6.3893623804463315,8.255333
4i72,test,9.05,6.316573511543136,7.70933,8.29750708466166,8.61695
2xyd,train,6.82,6.883438639125132,7.751783,,
1ro7,train,3.18,4.555419198055851,4.091997,,
2wva,train,10.7,9.331701093560067,10.307076,,
3m3o,train,3.6,4.51691373025513,4.596998,,
1olx,train,4.33,4.835115431348695,5.2030983,,
3ioe,train,3.27,4.24287970838395,4.225326,4.1648884165781,5.954517
3lp4,train,4.88,5.0417982989064924,5.3494744,,
3t60,train,6.7,6.62735115431343,7.2363687,6.17148777895848,7.1785245
2v88,train,4.09,5.0601093560146175,4.849316,4.417608926673787,4.8962436
3oyq,train,7.99,7.952539489671834,8.328196,7.82136025504773,7.4772115
1bnv,train,8.77,8.277764277035347,8.928698,8.92337938363457,9.032835
4k7o,test,4.3,5.4385419198055835,7.584608,6.685929861849136,6.2566977
2p95,train,9.37,8.60094775212631,9.418716,8.564427913567082,8.504652
1mes,train,7.7,8.10656136087479,8.519397,,
3hkn,train,5.35,6.14501822600244,6.6135554,5.916668437832116,6.1848397
4fcf,valid,8.62,6.538359659781286,7.069937,5.732647829057253,6.418403
1b40,train,7.28,7.101737545564998,7.5957775,7.044548352816123,6.9688163
3k5v,train,6.3,6.322818955042596,7.005617,6.173347502656814,6.6369967
4pp3,test,7.82,6.605091130012145,7.983507,6.8478356358484085,7.322038
3s6t,train,7.35,7.004884568651317,7.728832,,
1q8w,train,5.24,5.623839611178546,6.2792525,5.710988310308092,5.6779604
2c97,train,6.14,6.082575941676808,6.7168055,,
2cle,train,3.55,4.525370595382785,4.159182,,
1bp0,train,5.4,5.429963547995155,5.6613917,,
3ery,train,5.66,6.061069258809192,6.438055,6.020839532412285,6.6702642
4oc2,test,8.28,6.675990279465368,7.6176467,7.319543039319914,8.965172
3p17,train,4.48,5.105747266099638,5.6155176,5.00650371944737,6.5082684
2q7y,train,4.3,5.25125151883358,5.1094284,5.5486822529224655,6.0964417
2gzl,train,4.82,5.581373025516423,5.120912,,
3p8z,train,6.09,6.384738760631881,6.857023,6.204080765143512,7.4218106
4etz,train,6.3,6.146913730255222,6.740233,,
4g0p,train,3.01,3.839526123936863,3.9592376,,
2ole,train,7.25,6.9218226002430105,7.782999,6.742603613177477,6.121769
3l7c,train,2.44,3.299088699878522,3.6318126,2.9469996457669434,4.554248
1azm,train,6.1,5.8975820170109365,6.6793375,,
1m48,train,5.09,5.7041676792224,6.162735,5.966175168260772,5.6723814
4m0f,test,8.77,6.684690157958694,7.3402643,6.776185972369816,10.632806
3uri,valid,9.0,7.050607533414348,8.476828,6.279280729720166,5.9861474
1eoc,train,6.05,5.70143377885789,6.2393923,5.964590860786457,5.0318623
2yb0,train,3.85,4.4743863912514765,4.557248,4.160159404888372,4.18806
4fl2,train,3.66,4.6693803159173415,4.4364185,,
4h81,valid,5.12,5.540145808019433,6.4187098,,
3rdq,train,9.31,8.131081409477606,8.776263,8.238405145970322,10.1394
4kn0,valid,7.4,6.939586877278247,7.4360256,,
3g1d,train,3.48,4.452053462940473,4.0361495,,
1owe,train,6.2,6.19900364520043,6.7533345,6.352497343251792,7.3027997
4w9k,test,6.54,6.26352369380316,7.2119217,7.391349628055278,7.7552533
3zc5,valid,7.13,6.711190765492108,7.7266474,7.133910733262491,8.491269
3sbi,train,7.92,7.712600243013399,8.136197,7.585430393198768,7.371721
3jrs,train,4.28,5.115164034021925,4.923117,5.0711429920888165,5.7863116
1fkh,train,8.15,7.591494532199223,8.221064,7.795614594403048,7.5540175
3a6t,train,7.28,6.8210692588092305,6.826129,,
4e67,train,6.48,6.592126366950116,7.0626717,,
1m2x,train,4.15,4.728444714459332,5.048098,,
1b6j,train,7.92,7.6437788578372174,8.232413,7.713655685441075,8.093622
4da5,valid,6.44,5.9095625759416786,5.9612236,6.916663124335842,6.965752
4n6g,test,5.47,4.739732685297682,4.7540646,6.136227417640808,4.0943155
1ax0,train,3.13,4.089611178614869,4.099871,,
3bf1,train,2.52,3.673341433778846,3.374051,,
3s9e,train,5.13,5.244605103280731,6.029227,,
1z6s,train,4.34,4.907120291616072,5.275043,,
4azc,valid,5.86,5.660571081409466,6.591541,,
4eky,train,3.52,4.509441069258795,4.2536983,4.260639685913316,6.0072885
4pcs,test,7.85,5.535139732685294,5.669998,6.430054020545523,9.305648
1lol,train,6.39,6.251470230862719,7.23899,,
2wvz,train,4.02,4.647363304981762,4.8132787,4.351785334750249,5.0138903
2xy9,train,9.19,8.259003645200396,9.618016,,
3tsk,train,7.17,6.9806682867558125,7.6748962,7.256737513283736,7.5935087
3g2h,train,3.82,4.489963547995181,4.480119,4.192130712008542,5.009767
2z94,train,5.85,5.38200486026729,6.2468596,5.436238044633376,5.3681216
3uj9,train,4.63,4.79174969623335,5.3709993,,
4jfk,valid,6.44,6.668760631834757,7.5749393,7.628905318556784,6.762004
2vzr,train,4.28,4.597156743620945,5.06565,,
3kyq,train,4.22,5.003560145807968,4.925345,,
1bdq,train,6.34,6.7155042527339495,7.110612,,
1q72,train,6.85,6.573572296476332,7.3841934,6.846482465462366,7.46983
4h75,train,6.6,6.728068043742438,7.01028,6.131020191285901,6.394606
2wzf,train,7.0,6.725565006075337,7.4972205,,
1a4r,train,6.66,6.544848116646368,7.0094543,,
2x97,train,5.66,5.987642770352331,6.25732,,
3rlb,train,9.92,8.626002430133697,9.003722,9.408605207226412,10.22402
1cgl,train,6.87,6.7474483596597254,7.3738775,6.955968827488429,7.4017467
1atr,train,6.96,6.560024301336596,7.081841,,
1xws,train,8.0,7.545030376670719,8.73282,7.392968200768412,7.3916197
1q54,train,5.85,5.853693803159177,6.399556,,
3fx6,train,6.8,6.499987849331779,7.123933,6.72617428267807,7.626709
3kiv,train,4.7,4.755078979343822,5.334311,5.12830421311127,7.838318
4i74,valid,6.72,6.207715674362093,6.2906637,6.773615834218949,5.7586007
1gai,train,8.0,7.6630619684082655,8.442849,7.7871470573351464,7.9345913
4de0,train,5.89,5.893547995139748,6.367163,5.739312787814424,6.6091247
2b9a,train,8.05,7.154325637910152,8.764257,7.165207226355025,6.790327
3t85,train,7.95,7.351227217496894,8.677516,7.7385370173573245,7.9221096
3l4z,train,6.72,6.553523693803155,7.574213,6.814782146652521,7.3272653
2pyn,train,7.57,7.498699878493298,7.8979597,,
4b1j,train,7.3,7.214702308627039,8.2028885,,
1uou,train,7.7,7.051664641555216,8.169902,7.11615302869281,7.3775277
4bah,test,8.7,7.303329283110555,8.651645,6.783206366074592,8.143908
1ctt,train,4.52,5.164422843256382,6.0336523,4.645970008265449,5.3099504
4b9z,train,4.09,5.154544349939276,4.8163924,,
3bpc,train,4.8,5.355795868772837,5.496228,5.112772885987607,4.798651
3c8b,train,6.1,6.310680437424084,6.6078196,6.091583421891651,6.4496474
2qx0,train,6.11,6.006014580801929,6.656103,6.385238812138343,5.7848616
1xh5,train,5.47,5.941385176184666,6.115074,6.144319872476111,7.2449102
1fo0,train,5.59,6.164119076549257,6.4721856,5.520616365568592,5.953722
3iob,train,3.42,4.1892102065613885,4.234311,4.347651434644035,6.504255
3brn,train,8.7,7.6975941676791555,8.496719,8.554718384697011,8.387778
1o0f,train,5.3,5.489040097205402,6.0059757,,
3jvr,train,5.72,5.693900364520022,6.694243,6.06958908962098,6.3680606
4p5z,test,7.41,6.529392466585664,6.135099,7.5814558979808275,8.790561
2bes,train,4.24,4.53142162818949,4.6968994,,
4w9o,test,7.77,6.600012150668297,8.213693,,
4m0z,test,5.19,6.446719319562581,7.0682297,6.70767268862913,5.9324675
2za0,train,6.64,6.547897934386426,7.2155566,6.460754516471896,6.643041
4jfs,valid,5.27,5.783961117861489,6.7214756,6.472744420828934,6.9520097
2qry,train,8.64,7.728991494532265,8.72309,,
3huc,train,5.99,6.091652490886918,7.213544,6.157683315621596,6.9126534
3l3m,train,8.22,7.5683232077764515,8.776779,7.723347502656789,8.59257
2qhy,train,7.48,7.693353584447054,8.617735,7.681317747077466,7.2456307
2pgz,train,5.74,5.932296476306122,6.1455283,,
4b32,valid,3.34,5.590777642770344,5.3943644,5.633719447396398,7.0284915
4w9j,test,6.23,6.566014580801949,7.6881394,7.338877081119407,7.535182
3ekx,train,9.41,8.795552855406992,9.63357,9.085759829968037,9.793253
4q9o,test,5.77,6.600643985419197,7.428539,6.6945235565001955,6.4294753
2yel,train,7.28,6.976634264884561,7.995297,,
1d3p,train,7.39,7.309708383961171,7.5673738,7.299188806234589,8.317585
4hbm,train,7.92,7.437144592952645,8.677878,7.488689843631446,7.463735
3evd,train,6.91,6.510923450789752,7.57866,,
2fpz,train,3.96,4.429720534629424,4.495984,4.248076514346465,5.2724347
2xii,train,7.2,6.989307411907592,7.8968415,7.0651222104143905,7.7097473
4bps,valid,2.99,5.519246658566221,6.3568454,4.746269925611059,4.3208575
2r9w,train,5.1,5.394337788578352,5.931617,5.234909670563233,6.432856
4knj,valid,7.95,7.289246658566228,8.226389,7.134139213602554,7.070335
3jzj,train,3.61,4.861895504252754,4.56211,,
4pp0,test,4.4,5.987472660996351,6.365084,,
2wgj,train,8.7,7.89827460510321,8.806325,8.654321643641396,8.920045
4k77,valid,6.63,6.112758201701102,7.404352,5.918220864328726,4.1937933
4o61,test,4.3,5.096877278250302,6.0888996,,
3qnd,train,4.85,5.12182260024298,5.477121,,
4lk7,valid,5.04,5.845552855407048,7.1435494,5.195638378624557,4.0954547
3h5b,train,10.0,9.005625759416766,10.283915,9.998533475026566,10.202713
2q38,train,5.23,5.529538274605079,6.268783,5.147035069075422,5.7356424
2boh,train,8.52,8.132138517618573,8.955882,7.968023379383763,8.9482155
4cpy,test,6.31,6.1933414337788575,5.412407,,
2g72,train,6.5,6.532891859052252,7.489516,6.876535600425082,7.7256527
4fl1,train,3.28,4.451409477521318,4.1361756,,
3fuc,train,9.72,8.506257594167714,9.442468,,
1mrs,train,3.96,4.717205346294063,4.8221145,,
3m8u,train,4.89,5.728238153098423,5.375646,5.0492667375132925,5.827639
2jkh,train,8.05,7.544301336573586,8.549149,7.7274973432519385,7.610974
3pb9,train,6.58,6.08860267314699,7.0713706,6.342858660998888,6.827256
3bu1,train,8.15,7.279319562575894,7.6112404,7.870435706694902,7.535736
3hvk,train,8.52,7.967241798299017,8.641902,7.888161530287047,9.166655
3tao,train,5.14,5.152600243013345,5.6774817,,
4j93,valid,4.7,6.020631834750912,7.4933696,6.395639390719115,6.7848206
4pb2,test,4.8,5.868724179829891,7.402699,4.399628055260348,4.9921436
3o56,train,9.1,8.193037667071755,8.951906,8.072775416223958,9.439429
2rio,train,4.69,5.08996354799516,5.5223956,,
3f3u,train,4.74,5.3231105710813456,5.391382,5.261891604675812,5.9823675
2weo,train,6.93,6.205771567436201,7.166868,6.961594048884201,7.2455034
1wvj,train,6.73,6.500826245443446,7.3746467,6.707545164718295,7.336865
2xeg,train,10.7,9.430170109355936,10.583223,,
2j7b,train,6.62,6.164046172539436,7.3809047,6.464757350336477,6.2565093
3r4p,train,7.96,7.530996354799537,8.375074,7.871424017003198,8.718713
1fd0,train,8.4,7.856269744835923,8.559554,8.228873538788454,8.284328
3zpu,valid,8.38,7.751518833535861,7.983788,6.947704569606821,8.027545
1lhu,train,8.83,8.107278250303732,8.58646,,
2w67,train,4.96,5.313450789793458,5.968769,,
2qhz,train,7.28,7.669173754556472,8.161298,7.375441020191237,8.0349245
4j47,valid,4.92,6.422575941676793,7.533356,5.66851222104145,7.4066525
3nyd,train,3.48,4.182478736330508,4.0954404,,
3e93,train,8.85,7.975808019441135,9.228874,8.325175345377353,9.829035
3t6b,train,6.36,6.682490886998752,7.205079,6.307693942614195,6.9943132
4e6d,valid,8.92,6.366670716889436,7.2730403,7.252939324932957,8.467927
3cyx,train,8.0,7.950279465370593,8.722894,,
4auj,valid,7.74,6.160182260024304,6.7989616,5.844256110520728,6.9356136
1ai7,train,4.09,4.214520048602697,4.6896048,4.156535600425128,5.1133366
3acx,train,5.7,6.08301336573506,6.157441,5.94452290707279,6.6045613
2f7o,train,7.44,6.755334143377854,6.7144737,6.978841657810778,8.05559
3ebo,train,4.72,5.0619441069258295,5.7447114,,
4tu4,test,3.76,5.889270959902795,5.6070724,6.981997874601514,9.348796
2dw7,train,4.7,4.832648845686464,5.228461,,
1gj7,train,7.89,7.155212636695071,8.553859,7.821307120085131,7.981013
4je8,test,5.21,6.479416767922246,7.742879,5.865664187035071,6.013323
1o5a,train,6.42,6.384823815309876,7.185984,,
1jgl,train,8.7,7.740461725394823,8.465284,,
4gqq,train,2.89,3.7352247873632973,3.2943525,3.7732837407013586,5.30528
2z1w,train,4.08,4.706294046172508,4.8027916,4.726956938450891,6.729548
2vc9,train,8.44,7.423147023086203,8.407007,8.305876726886137,8.088951
3f1a,train,7.21,6.702381530984224,7.721886,7.281583421891632,8.159016
4dld,train,5.82,5.940923450789806,6.4662623,5.85735387885227,6.6828947
4el0,train,4.49,5.037582017010872,5.137362,4.955849569016345,4.6321917
1b2h,train,4.54,5.358748481166447,5.4847074,5.066206163655657,6.752021
4ddk,valid,2.29,5.442381530984187,5.1293964,5.039705480491907,4.707091
1w5x,train,8.4,8.43031591737538,9.24026,8.445781083953115,8.655209
1efy,train,8.22,7.510522478736354,8.4074745,7.593493402408828,8.562769
2fgu,train,9.18,8.4689550425274,9.224073,,
2zb1,train,6.32,6.464872417982991,7.295296,6.672380446333658,7.6263404
1ejn,train,5.62,5.976670716889373,6.028949,5.895068189868885,5.905402
1b8y,train,7.85,7.400000000000044,8.723338,7.433297024442153,7.962069
3g2z,train,2.36,3.4836816524908905,3.0128284,3.688746014877807,3.8375793
4agl,train,3.65,4.308784933171361,4.6558313,4.417210414452742,4.53184
2xm2,train,4.62,5.0455164034021385,5.430498,5.061286928799099,7.236453
2vhj,train,3.9,4.568845686512796,4.567278,,
2qd8,train,9.07,9.150692588092287,9.281416,,
3f80,train,4.22,4.693973268529715,5.1038003,5.054442082890515,4.392032
4lps,valid,5.74,5.9591737545565024,7.5214796,,
2a4m,train,4.52,5.102636695018223,5.701826,,
4k9y,valid,6.95,6.881555285540714,7.1879773,6.371062699256102,5.045055
4db7,train,6.56,6.15959902794655,7.1275277,6.346402408785042,7.428869
1ppi,train,5.01,5.8484447144593705,5.7037134,5.598466089466103,6.4991393
1njc,train,5.55,5.547120291616095,6.3872843,,
3el9,train,8.4,8.194422843256312,8.875211,,
3t8v,train,6.59,6.748626974483647,7.385669,6.555324123273168,7.6384254
