CHEMBL1795195	Q96Q15
CHEMBL4179	P45984
CHEMBL4578	Q14680
CHEMBL3290	P29323
CHEMBL2345	P51812
CHEMBL5483	P14616
CHEMBL260	Q16539
CHEMBL5856	Q96Q40
CHEMBL258	P06239
CHEMBL2558	P53355
CHEMBL5388	Q9UKI8
CHEMBL4273	Q13976
CHEMBL331	P11802
CHEMBL3125	O75676
CHEMBL279	P35968
CHEMBL1906	P04049
CHEMBL2171	P52564
CHEMBL3629	P68400
CHEMBL4121	Q13554
CHEMBL4937	P49674
CHEMBL3984	Q99640
CHEMBL3530	O14733
CHEMBL5256	Q8N5S9
CHEMBL3575	Q05823
CHEMBL3835	P51955
CHEMBL1908386	Q6XUX3
CHEMBL4442	Q00526
CHEMBL4134	P29322
CHEMBL5518	Q8N4C8
CHEMBL1075155	Q15208
CHEMBL1841	P06241
CHEMBL4577	Q9H422
CHEMBL2842	P42345
CHEMBL4105759	O43187
CHEMBL2349	P15735
CHEMBL2938	P05129
CHEMBL2068	P29317
CHEMBL3906	Q15349
CHEMBL5408	Q9UHD2
CHEMBL6055	Q9BYP7
CHEMBL3886	Q9NYL2
CHEMBL2815	P04629
CHEMBL5405	Q86UX6
CHEMBL5970	Q99759
CHEMBL5261	Q7L7X3
CHEMBL3650	P11362
CHEMBL1795199	Q9Y572
CHEMBL4204	Q9HBH9
CHEMBL2777	Q9H1R3
CHEMBL1913	P09619
CHEMBL6082	P57059
CHEMBL1163124	O43283
CHEMBL4501	P23443
CHEMBL3094	Q8IW41
CHEMBL5606	Q15831
CHEMBL3108638	O15164
CHEMBL5014	O43353
CHEMBL5247	Q13418
CHEMBL2801	Q13557
CHEMBL4601	Q13882
CHEMBL4525	Q9UEE5
CHEMBL5903	Q04771
CHEMBL3055	P50613
CHEMBL3961	Q15759
CHEMBL2148	P52333
CHEMBL5443	O00311
CHEMBL1075163	Q8TF76
CHEMBL5146	P11274
CHEMBL4851	Q9Y2H1
CHEMBL5467	Q13873
CHEMBL2695	Q05397
CHEMBL6186	Q96BR1
CHEMBL5627	P29376
CHEMBL1991	O14920
CHEMBL1169596	P10398
CHEMBL4070	P19784
CHEMBL1075133	Q8WTQ7
CHEMBL2553	Q15418
CHEMBL1163104	O95747
CHEMBL5759	P31152
CHEMBL4141	Q16654
CHEMBL1163108	Q9UEW8
CHEMBL3111	Q9UBS0
CHEMBL5550	Q8NI60
CHEMBL5285	Q99683
CHEMBL4223	P42685
CHEMBL5258	Q96NX5
CHEMBL308	P06493
CHEMBL3032	Q16513
CHEMBL5121	Q16659
CHEMBL1957	P08069
CHEMBL6006	O75385
CHEMBL299	P17252
CHEMBL1974	P36888
CHEMBL5330	Q12851
CHEMBL5073	Q8IU85
CHEMBL5753	Q96D53
CHEMBL5861	P32298
CHEMBL4516	Q5VT25
CHEMBL5790	Q00537
CHEMBL2708	Q16584
CHEMBL203	P00533
CHEMBL3024	P53350
CHEMBL5275	P36894
CHEMBL6191	Q56UN5
CHEMBL4574	Q8IWQ3
CHEMBL5319	Q08345
CHEMBL4849	Q8TDX7
CHEMBL3905	P07948
CHEMBL4670	Q16644
CHEMBL5491	P30291
CHEMBL4718	Q9BUB5
CHEMBL5684	O15146
CHEMBL5938	Q9NYY3
CHEMBL4202	Q9H2G2
CHEMBL5728	Q92772
CHEMBL1163112	O76039
CHEMBL2835	P23458
CHEMBL1936	P10721
CHEMBL2964	P36507
CHEMBL1163125	O60885
CHEMBL4599	Q07912
CHEMBL4014	P42684
CHEMBL5941	Q9P289
CHEMBL2896	Q13237
CHEMBL3717	P08581
CHEMBL1824	P04626
CHEMBL5044	Q6P3R8
CHEMBL5466	Q13705
CHEMBL2007	P16234
CHEMBL1795186	Q15059
CHEMBL3980	O94768
CHEMBL4598	Q13043
CHEMBL4924	Q9UK32
CHEMBL5469	Q14289
CHEMBL5147	P54760
CHEMBL4602	Q15375
CHEMBL4816	Q9Y243
CHEMBL6144	P43250
CHEMBL2494	Q16566
CHEMBL4527	Q9UKE5
CHEMBL3938	O75716
CHEMBL4597	Q00536
CHEMBL3861	Q15119
CHEMBL6003	Q9BXA7
CHEMBL1772932	O43683
CHEMBL2508	Q00534
CHEMBL4853	Q9Y6R4
CHEMBL5784	O60285
CHEMBL5320	Q09013
CHEMBL5604	Q15569
CHEMBL2634	P41240
CHEMBL3542	Q8IY84
CHEMBL262	P49841
CHEMBL5719	P49336
CHEMBL3116	P50750
CHEMBL3234	P08631
CHEMBL4524	Q9P286
CHEMBL2069163	Q96S53
CHEMBL2996	Q05655
CHEMBL2595	O94806
CHEMBL2897	P45985
CHEMBL4309	Q9HC98
CHEMBL5659	O14730
CHEMBL4224	P49759
CHEMBL2918	P22694
CHEMBL4375	Q96SB4
CHEMBL4203	Q9HAZ1
CHEMBL2973	O75116
CHEMBL4454	P09769
CHEMBL3973	P22455
CHEMBL5310	P36896
CHEMBL2185	Q96GD4
CHEMBL4487	Q13177
CHEMBL5579	O14578
CHEMBL5914	Q9Y2U5
CHEMBL1163126	Q9UPZ9
CHEMBL5316	Q07002
CHEMBL5749	Q92918
CHEMBL2147	P11309
CHEMBL3384	Q16512
CHEMBL6054	Q96RG2
CHEMBL4901	P54753
CHEMBL3616	P24723
CHEMBL2493	Q14012
CHEMBL1163128	Q9Y2H9
CHEMBL2426	Q9HCP0
CHEMBL6167	O95835
CHEMBL5679	P51956
CHEMBL4237	O75582
CHEMBL4948	Q13163
CHEMBL5122	Q16832
CHEMBL2637	P53779
CHEMBL6150	Q8WU08
CHEMBL5888	Q99558
CHEMBL2999	O75914
CHEMBL4674	P53778
CHEMBL2534	O15530
CHEMBL4036	Q00535
CHEMBL5314	Q06418
CHEMBL1955	P35916
CHEMBL1649059	Q86Y07
CHEMBL2208	P49137
CHEMBL5703	Q9H3Y6
CHEMBL5754	Q96L34
CHEMBL2872	P80192
CHEMBL2828	P48730
CHEMBL3988	P54764
CHEMBL1075167	Q8NE63
CHEMBL2939	O15264
CHEMBL5855	Q96PY6
CHEMBL5794	Q9HBY8
CHEMBL4045	Q13131
CHEMBL3893	Q15120
CHEMBL5789	Q00532
CHEMBL5776	O43318
CHEMBL4852	Q9Y4K4
CHEMBL3476	O15111
CHEMBL5543	Q9Y463
CHEMBL2527	O96017
CHEMBL1163123	O95382
CHEMBL3414416	Q96PN8
CHEMBL1908382	Q13523
CHEMBL5331	Q12866
CHEMBL2189144	Q99570
CHEMBL2599	P43405
CHEMBL4482	O96013
CHEMBL2431	P31751
CHEMBL1628470	Q9BX84
CHEMBL6005	Q9BYT3
CHEMBL4722	O14965
CHEMBL4247	Q9UM73
CHEMBL5683	O15075
CHEMBL2793	P48729
CHEMBL4523	Q9P1W9
CHEMBL4898	Q16620
CHEMBL2343	O00141
CHEMBL3045	P05771
CHEMBL5415	Q9UPE1
CHEMBL4147	Q9UQM7
CHEMBL3863	Q15139
CHEMBL5699	Q9H0K1
CHEMBL1981	P06213
CHEMBL5432	Q8IVH8
CHEMBL5785	P19525
CHEMBL2959	Q08881
CHEMBL3108641	Q8IZX4
CHEMBL2116	P54646
